,Тип исследовании,Показатели UZ,Показатели RU,Long common name,LOINC,Диапазон, Единицы
lab-pan-F,Биохимическое исследование крови,Biokimyoviy qon tahlili,Биохимическое исследование крови,Comprehensive metabolic 2000 panel – Serum or Plasma,24323-8,,
lab-pan-140,,Umumiy oqsil,Общий белок,Protein [Mass/volume] in Serum or Plasma,2885-2,"<3 ёш 46-70
>3 ёш 66 –85",г/л
lab-pan-141,,Albumin,Альбумин,Albumin [Mass/volume] in Serum or Plasma,1751-7,35 – 55,г/л
lab-pan-142,,Xolesterin (umumiy),Холестерин (общий),Cholesterol [Mass/volume] in Serum or Plasma,2093-3,"<5,2 ",ммоль/л
lab-pan-143,,Triglitseridlar,Триглицериды,Triglyceride [Mass/volume] in Serum or Plasma,2571-8,"<2,28 ",ммоль/л
lab-pan-144,,Glyukoza,Глюкоза,Glucose [Mass/volume] in Serum or Plasma,2345-7,"3,2 – 6,1",ммоль/л
lab-pan-145,,Mochevina,Мочевина,Urea nitrogen [Mass/volume] in Serum or Plasma,3094-0,"2,5 – 8,3",ммоль/л
lab-pan-146,,Kreatinin,Креатинин,Creatinine [Mass/volume] in Serum or Plasma,2160-0,"Э: 44 – 115
А: 44 – 97",мкмоль/л
lab-pan-147,,Umumiy bilirubin,Билирубин общий,Bilirubin.total [Mass/volume] in Serum or Plasma,1975-2,"3,4 – 20,5",мкмоль/л
lab-pan-148,,To‘g‘ri (bog‘langan) bilirubin,Билирубин прямой (связанный),Bilirubin.direct [Mass/volume] in Serum or Plasma,1968-7,"0,86 – 5,3",мкмоль/л
lab-pan-149,,Noto‘g‘ri (erkin) bilirubin,Билирубин непрямой (свободный),Bilirubin.indirect [Mass/volume] in Serum or Plasma,1971-1,"1,7 – 17,1",мкмоль/л
lab-pan-150,,Alaninaminotransferaza (ALT),Аланинаминотрансфераза (АЛТ),Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1742-6,< 40,Ед/л
lab-pan-151,,Aspartataminotransferaza (AST),Аспартатаминотрансфераза (АСТ),Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,1920-8,< 35,Ед/л
lab-pan-152,,Laktatdegidrogenaza (LDG),Лактатдегидрогеназа (ЛДГ),Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,14804-9,225-450,Ед/л
lab-pan-153,,Gammaglutamiltransferaza (GGT),Гаммаглутамилтрансфераза (ГГТ),Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,2324-2,"Э: 11-61
А: 9-39",Ед/л
lab-pan-154,,Alfa-amilaza,Альфа-амилаза,Amylase [Enzymatic activity/volume] in Serum or Plasma,1798-8,0 – 220,Ед/л
lab-pan-155,,Ishqoriy fosfataza (IF),Щелочная фосфатаза (ИФ),Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,6768-6,"<15 ёш  <644
15-17 ёш <483",Ед/л
lab-pan-156,,Kaliy,Калий,Potassium [Moles/volume] in Serum or Plasma,2823-3,"3,6 – 5,4",ммоль/л
lab-pan-157,,Natriy,Натрий,Sodium [Moles/volume] in Serum or Plasma,2951-2,135 - 150,ммоль/л
lab-pan-158,,Kalsiy,Кальций,Calcium [Mass/volume] in Serum or Plasma,17861-6,"2,0 – 2,6",ммоль/л
lab-pan-159,,Temir,Железо,Iron [Mass/volume] in Serum or Plasma,2498-4,"6,6-27",мкмоль/л
lab-pan-160,,Fosfor,Фосфор,Phosphate [Mass/volume] in Serum or Plasma,2777-1,"4,0 – 7,0",ммоль/л
lab-pan-161,,Xlor,Хлор,Chloride [Moles/volume] in Serum or Plasma,2075-0,98-106,ммоль/л
lab-pan-162,,Magniy, Магний,Magnesium [Mass/volume] in Serum or Plasma,19123-9,Болаларда 0.75-1.15  Катталарда 0.75-1.25  Хомиладорларда 0.8-1.5,ммоль/л
lab-pan-163,,Eritrotsitlardagi magniy, Магний в эритроцитах,Magnesium [Moles/volume] in Red Blood Cells,2597-3,1.65 - 2.65,ммоль/л
