,Тип исследовании,Показатели UZ,Показатели RU,Long common name,LOINC,Диапазон, Единицы
lab-pan-B,,Najasning makroskopik tekshiruvi,Макроскопическое исследование кала,Macroscopic stool analysis,,,
lab-pan-28,,Miqdori,Количество,Stool volume [Type],19111-2,,
lab-pan-29,,Konsistensiyasi,Консистенция,Stool consistency [Type],11277-1,,
lab-pan-30,,Shakli,Форма,Stool form [Type],71374-8,,
lab-pan-31,,Hidi,Запах,Stool odor [Type],19112-0,,
lab-pan-32,,Rangi,Цвет,Stool color [Type],19113-8,,
lab-pan-33,,Muhit (pH reaksiyasi),Среда (реакция pH),Stool pH,2748-2,,
lab-pan-34,,Shilliq,Слизь,Mucus [Presence] in Stool,5782-8,,
lab-pan-35,,Qon,Кровь,Blood [Presence] in Stool,5792-7,,
lab-pan-36,,Hazm bo‘lmagan ovqat qoldiqlari,Непереваренные остатки пищи,Undigested food [Presence] in Stool,5786-9,,
lab-pan-37,,Yashirin qonga reaksiya,Реакция на скрытую кровь,Occult blood [Presence] in Stool by Guaiac test,57905-2,,
lab-pan-38,,Sterkobilinga reaksiya,Реакция на стеркобилин,Stercobilin [Presence] in Stool,19114-6,,
lab-pan-39,,Bilirubinga reaksiya,Реакция на билирубин,Bilirubin [Presence] in Stool,19115-3,,
,,,,,,,
,,,,,,,
,Тип исследовании,Показатели UZ,Показатели Ru,,,Диапазон, Единицы
lab-pan-BB,,Najasning mikroskopik tekshiruvi,Микроскопическая исследование кала,,,,
lab-pan-40,,Mushak tolalari: ko‘ndalang chiziqli,Мышечные волокна:С исчерченностью,Muscle fibers striated [Presence] in Stool by Light microscopy,19116-1,,
lab-pan-41,,Mushak tolalari: ko‘ndalang chiziqsiz,Мышечные волокна:Без исчерченности,Muscle fibers non-striated [Presence] in Stool by Light microscopy,19117-9,,
lab-pan-42,,Biriktiruvchi to‘qima,Соединительная ткань,Connective tissue [Presence] in Stool by Light microscopy,19118-7,,
lab-pan-43,,Neytral yog‘,Жир нейтральный,Neutral fat [Presence] in Stool by Light microscopy,19119-5,,
lab-pan-44,,Yog‘ kislotalari,Жирные кислоты,Fatty acids [Presence] in Stool by Light microscopy,19120-3,,
lab-pan-45,,Sovunlar,Мыла,Soaps [Presence] in Stool by Light microscopy,19121-1,,
lab-pan-46,,O‘simlik kletchatkasi (hazm bo‘ladigan),Растительная клетчатка перевариваемая,Plant fibers digested [Presence] in Stool by Light microscopy,19122-9,,
lab-pan-47,,Kraxmal,Крахмал,Starch granules [Presence] in Stool by Light microscopy,19123-7,,
lab-pan-48,,Yodofil flora,Йодофильная флора,Iodophilic bacteria [Presence] in Stool by Light microscopy,19124-5,,
lab-pan-49,,Kristallar,Кристаллы,Crystals [Presence] in Stool by Light microscopy,19125-2,,
lab-pan-50,,Shilliq,Слизь,Mucus [Presence] in Stool by Light microscopy,19126-0,,
lab-pan-51,,Epiteliy,Эпителий,Epithelial cells [Presence] in Stool by Light microscopy,19127-8,,
lab-pan-52,,Leykotsitlar,Лейкоциты,Leukocytes [Presence] in Stool by Light microscopy,19128-6,,
lab-pan-53,,Eritrotsitlar,Эритроциты,Erythrocytes [Presence] in Stool by Light microscopy,19129-4,,
lab-pan-54,,Sodda parazitlar (protozoylar),Простейшие,Protozoa [Presence] in Stool by Light microscopy,19130-2,,
lab-pan-55,,Gelmint tuxumlari,Яйца глистов,Ova (helminth) [Presence] in Stool by Light microscopy,19131-0,,
lab-pan-56,,Achitqi zamburug‘lar,Дрожжевые грибы,Yeast [Presence] in Stool by Light microscopy,19132-8,,
