,Тип исследовании(Панел),Показатели UZ,Показатели RU,Long common name,LOINC,Диапазон, Единицы
lab-pan-E,,Umumiy qon tahlili,Общий анализ крови,CBC panel,58410-2,,
lab-pan-74,,Gemoglobin (HB),Гемоглобин (HB),Hemoglobin [Mass/volume] in Blood,718-7,"Э: 130,0 - 160,0   ;  А: 120,0 - 140,0",г/л
lab-pan-75,,Eritrotsitlar (RBC),Эритроциты (RBC),Erythrocytes [#/volume] in Blood by Automated count,789-8,"Э: 4,0 - 5,0             А: 3,9 - 4,7",10^12/л
lab-pan-76,,Rang ko‘rsatkichi,Цветовой показатель,,,"0,85 - 1,05",
lab-pan-77,,Eritrotsitlarning o‘rtacha hajmi (MCV),Средний объём эритроцитов (MCV),MCV [Entitic volume] by Automated count,787-2,80-100,мкм^3
lab-pan-78,,1 dona eritrotsitdagi gemoglobin miqdori (MCH),Среднее содержание гемоглобина в одном эритроците (MCH),MCH [Entitic mass] by Automated count,785-6,30-35,
lab-pan-79,,Eritrotsitdagi gemoglobin konsentratsiyasi (MCHC),Средняя концентрация гемоглобина в эритроците (MCHC),MCHC [Mass/volume] by Automated count,786-4,320-360,г/л
lab-pan-80,,Eritrotsitlar anizotsitozi (RDW-CV),Анизоцитоз эритроцитов (RDW-CV),Erythrocyte distribution width (RDW-CV) [Ratio] by Automated count,788-0,"11,5-14,5",%
lab-pan-81,,Gematokrit (HCT),Гематокрит (HCT),Hematocrit [Volume Fraction] of Blood by Automated count,4544-3,Э: 35-49            А: 32-45,%
lab-pan-82,,Trombotsitlar (PLT),Тромбоциты (PLT),Platelets [#/volume] in Blood by Automated count,777-3,"180,0 – 320,0",10^9/л
lab-pan-83,,Trombotsitlarning o‘rtacha hajmi (MPV),Средний объём тромбоцитов (MPV),Mean platelet volume [Entitic volume] in Blood by Automated count,32623-1,"3,6-9,4",мкм^3
lab-pan-84,,Trombotsitlar anizotsitozi (PDW),Анизоцитоз тромбоцитов (PDW),Platelet distribution width [Entitic volume] in Blood by Automated count,32207-3,"""1-20""",%
lab-pan-85,,Trombokrit (PCT),Тромбокрит (PCT),Plateletcrit [Volume Fraction] of Blood by Automated count,28542-9,"0,15-0,45",%
lab-pan-86,,Leykotsitlar (WBC),Лейкоциты (WBC),Leukocytes [#/volume] in Blood by Automated count,6690-2,"4,0 - 9,0",10^9/л
lab-pan-87,,Miyelotsitlar,Миелоциты,Myelocytes [#/volume] in Blood by Manual count,30446-9,,
lab-pan-88,,Metamiyelotsitlar,Метамиелоциты,Metamyelocytes/100 leukocytes in Blood by Manual count,28541-1,,
lab-pan-89,,Tayoqchasimon yadroli neytrofillar,Палочкоядерные нейтрофилы,Neutrophils.band form/100 leukocytes in Blood by Manual count,764-1,1 – 6,%
lab-pan-90,,Segment yadroli neytrofillar,Сегментоядерные нейтрофилы,Neutrophils [#/volume] in Blood by Automated count,751-8,47 – 72,%
lab-pan-91,,Eozinofillar,Эозинофилы,Eosinophils [#/volume] in Blood by Automated count,711-2,"0,5-5",%
lab-pan-92,,Bazofillar,Базофилы,Basophils [#/volume] in Blood by Automated count,704-7,0 - 1,%
lab-pan-93,,Monotsitlar,Моноциты,Monocytes/100 leukocytes in Blood by Automated count,5905-5,"""3-11""",%
lab-pan-94,,Limfotsitlar,Лимфоциты,Lymphocytes [#/volume] in Blood by Automated count,731-0,19-37,%
lab-pan-95,,Plazmatik hujayralar,Плазматические клетки,,,,%
lab-pan-96,,Eritrotsitlarning cho‘kish tezligi (ECHT),Скорость оседания эритроцитов (СОЭ),Erythrocyte sedimentation rate (ESR) by Westergren method,4537-7,Э: 2-10; А: 2-15,мм/соат
,Эритроцитлар  морфологияси,,,,,,
lab-pan-97,,"Anizotsitoz (mikrotsitlar, makrotsitlar, megalotsitlar)","Анизоцитоз (микроциты, макроциты, мегалоциты)",Platelet anisocytosis [Presence] in Blood by Light microscopy,51640-1,,
lab-pan-98,,Poykilotsitoz,Пойкилоцитоз,Poikilocytosis [Presence] in Blood by Light microscopy,779-9,,
lab-pan-99,,Eritrotsitlarning bazofil donadorligi,Базофильная зернистость эритроцитов,Basophilic stippling [Presence] in Blood by Light microscopy,703-9,,
lab-pan-100,,Polixromatofiliya,Полихроматофилия, Polychromasia [Presence] in Blood by Light microscopy, 10378-8,,
lab-pan-101,,Jolli tanachalari,Тельца Жолли, Howell-Jolly bodies [Presence] in Blood by Light microscopy,7793-3,,
lab-pan-102,,Kebot halqalari,Кольца Кебота,Cabot rings [Presence] in Blood by Light microscopy,11280-5,,
lab-pan-103,,Eritronormoblastlar (100 ta leykotsitga nisbatan),Эритронормобласты (на 100 лейкоцитов),Nucleated erythrocytes/Leukocytes [Ratio] in Blood by Manual count, 	18309-5,,
